question,true,basic,rag
What was the final score of the AFC Championship Game?,20–18,20 – 18,11 points
How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?,17 seconds,17 seconds,three minutes
What team was the divisional round winner between the Broncos and Steelers?,Broncos,Pittsburgh Steelers,Pittsburgh Steelers
What was the final score of the game between the Broncos and Steelers?,23–16,11 points,11 points
Who won Super Bowl XLIX?,New England Patriots,New England Patriots,New Engl
How many seconds were left in the game when the Broncos intercepted the pass that won the game?,17,17,three
"During the Bronco's playoff games, who did not throw at all?",Manning,Manning,"ring the season, he didn ' t throw any in their two playoff games"
Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
How many points did the Broncos score in the final three minutes of the Pittsburgh game?,11,11,11
Who did the Broncos defeat in the AFC Championship game?,New England Patriots,New England Patriots,Pittsburgh Steelers
Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
Who did the Broncos beat tp become the AFC champions?,New England Patriots,New England Patriots,New Engl
How many seconds were left in the game when the Patriots failed their 2-point conversion?,17,17,17
What Carolina player was injured in the NFC Championship Game?,Thomas Davis,Thomas Davis,Thomas Davis
What injury did Thomas Davis suffer in the NFC Championship?,a broken arm,a broken arm,a broken arm
How many times had Thomas Davis torn his ACL in his career?,three,three,three
How many years has Thomas Davis played in the NFL?,11,11,11
"What injury did Thomas Davis suffer from repeatedly, for a total of three times, during his career?",ACL tears,broken arm,broken arm
What body part did Thomas Davis break during the NFC Championship Game?,arm,arm,arm
How many years has Thomas Davis played in the NFL?,11,11,11
"What game did Thomas Davis say he would play in, despite breaking a bone earlier on?",Super Bowl,Super Bowl,Super Bowl
How many ACL injuries has Thomas Davis had during his career?,three,three,three
What injury did Thomas Davis suffer during the playoff games?,broken arm,a broken arm,a broken arm
How many years had Thomas Davis played in the league when he broke his arm during the NFC Championship game?,11,11,11
Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,Thomas Davis,Thomas Davis
How old was Peyton Manning when he played in Super Bowl 50?,39,39,39
Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,John Elway,Peyton Manning
How old was John Elway when he played in Super Bowl XXXIII?,38,38,38
What role does John Elway currently have in the Broncos franchise?,Executive Vice President of Football Operations and General Manager,Executive Vice President of Football Operations and General Manager,Executive Vice President of Football Operations and General Manager
Who did John Elway play for in Super Bowl XXXIII?,Broncos,Broncos,the Broncos
What team was the winner of Super Bowl XXXIII?,Broncos,Broncos,Broncos
Who is the General Manager for the Broncos?,John Elway,John Elway,John Elway
How old was Elway during his Super Bowl XXXIII win?,38,38,38
Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,John Elway,Peyton Manning
"How many teams has Manning played for that reached the Super Bowl, while he was on their team?",two,two,two
Peyton Manning took how many different teams to the Super Bowl?,two,two,two
Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,Peyton Manning,Peyton Manning
"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,John Elway,Peyton
Which Super Bowl did Elway win at 38 years old?,Super Bowl XXXIII,Super Bowl XXXIII,XXXIII
Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,Peyton Manning,Peyton Manning
How old was Manning when he played Super Bowl 50?,39.,39,39
What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,John Elway,Peyton Manning
When was Manning picked #1 in the NFL Draft?,1998,1998,1998
When was Newton the first selection in the NFL Draft?,2011,2011,20
How old was Newton during Super Bowl 50?,26,26,26
How much older was Manning than Newton during Super Bowl 50?,13 years and 48 days,26,26
Who was the #2 pick in the 2011 NFL Draft?,Von Miller,Newton,Manning
Who was considered to be the first choice in the NFL draft of 1998?,Manning,Manning,Manning
"In 2011, who was the first player to be chosen in the NFL draft?",Newton,Newton,Newton
How old was Newton during Super Bowl 50?,26,26,26
What position did Newton play during Super Bowl 50?,quarterback,quarterback,"quarterbacks at 13 years and 48 days ( Manning was 39, Newton was 26"
Manning was the number one pick in which draft?,1998,1998,1998
Newton was the number one pick in which draft?,2011,2011,20
Who was the number two draft pick for 2011?,Von Miller,Newton,Newton
What year did Newton hold the number one draft pick position?,2011.,2011,1998
How old was Newton in Super Bowl 50?,26,26,20
What was the age difference between Newton and Manning in Super Bowl 50?,13 years and 48 days,13 years and 48 days,20
In what Super Bowl did Rivera play?,Super Bowl XX,XX,XX
What team did Rivera play for in Super Bowl XX?,Chicago Bears,Chicago Bears,Chicago Bears
What position did Rivera play in Super Bowl XX?,linebacker,linebacker,linebacker
Who was replaced by Kubiak in Super Bowl XXIV?,Elway,Elway,Elway
What team did Kubiak play for in Super Bowl XXI?,Broncos,Chicago Bears,Chicago Bears
What position did Rivera play in Super Bowl XX? ,linebacker,linebacker,linebacker
Who did Kubiak take the place of after Super Bowl XXIV?,Elway,Elway,Elway
Who was the Panthers head coach for the 2015 season?,Rivera,Rivera,Rivera
What Super Bowl did Rivera play in as a player?,Super Bowl XX,XX,XX
Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,Justin Tucker,Justin Tucker
What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,Bermuda 419,Levi ' s Stadium ' s field
Who is the field director of the NFL?,Ed Mangan,Ed Mangan,
What team did Justin Tucker play for?,Baltimore Ravens,Baltimore Ravens,Baltimore Ravens
What position did Justin Tucker play?,kicker,kicker,kicker
Which player did the turf collapse under during a game in the Levi's Stadium?,Justin Tucker,Justin Tucker,player slipping during plays
What position does Tucker play for with the Ravens?,kicker,kicker,kicker
What was used to sod the Levi's Stadium for Super Bowl 50? ,hybrid Bermuda 419 turf,Bermuda 419 turf,various iss
"Which kicker had a portion of the turf collapse, causing him to miss a field goal?",Justin Tucker,Justin Tucker,Justin Tucker
What did the NFL do to the playing field at Levi's Stadium before the Super Bowl?,a new playing surface,re - sodded the field with a new playing surface,the field had to be re - sodded
What covered the new field at Levi's Stadium?,a hybrid Bermuda 419 turf.,Bermuda 419 turf,various iss
What did a lot of players need to change during Super Bowl 50 because of the condition of the field?,their cleats,cleats,various iss
What player did the field problem at Levi's stadium affect for a field goal in week six of the regular season?,Justin Tucker,Justin Tucker,Justin Tucker
What field type is usually chosen for Super Bowl games?,natural grass,"natural grass stadiums, the NFL re - sodded the field with a new playing surface ; a hybrid Bermuda 419 turf",natural grass
Who was designated as the home team in the Super Bowl?,Broncos,Pittsburgh Steelers,The only other AFC champion team to have worn white
What was the final score of Super Bowl XXXIII?,34–19,34 – 19,losing in Super Bowl XII
What team lost Super Bowl XXXIII?,Atlanta Falcons,Atlanta Falcons,Super Bowl XII
What color pants did the Broncos wear in Super Bowl 50?,white,white,white
What was Elway's final game as the Denver quarterback?,Super Bowl XXXIII,"Super Bowl XXXIII, Elway ' s last game as Denver QB, when they defeated the Atlanta Falcons 34 – 19","Super Bowl XXXIII, Elway ' s last game as Denver QB, when they defeated the Atlanta Falcons 34 – 19"
What was the last game that Elway played as a quarterback for Denver?,Super Bowl XXXIII,Super Bowl XXXIII,Super Bowl XXXIII
What was the final score for Super Bowl XXXIII?,34–19,34 – 19,losing in Super Bowl XII
What team did the Denver Broncos play in  Super Bowl XXXIII?,Atlanta Falcons,Atlanta Falcons,Atlanta Falcons
What color were the Bronco's uniforms in Super Bowl 50?,white,white,white
What jersey did the Broncos wear for Super Bowl 50?,road white jerseys,"road white jerseys with matching white pants. Elway stated, "" We ' ve had Super Bowl success in our white uniforms. "" The Broncos last wore matching white jerseys and pants",white
Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,Pittsburgh Steelers,The only other AFC champion team to have worn white as the designated home team
What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,Super Bowl XXXIII,Super Bowl XXXIII
What was the color of the jerseys in Super Bowl XXXII when Elway was quarterback?,blue,blue,orange
What color jersey has Denver 0-4?,orange,orange,blue
"Since Denver chose white, what colors did Carolina wear in Super Bowl 50?",black jerseys with silver pants.,black jerseys with silver pants,matching white jerseys and pants
At what university's facility did the Panthers practice?,San Jose State,,
At what university's facility did the Broncos practice?,Stanford University,Stanford University,Stanford University
In what city's Marriott did the Panthers stay?,San Jose,Santa Clara,Santa Clara
In what city's Marriott did the Broncos stay?,Santa Clara,Santa Clara,Santa Clara
What hotel did the Panthers stay in during Super Bowl 50? ,San Jose Marriott,San Jose Marriott,San Jose Marriott
What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,Santa Clara Marriott,San Jose Marriott,San Jose Marriott
Where did the Panthers practice at for Super Bowl 50?,San Jose State practice facility,San Jose State,San Jose State
Where did the Broncos practice at for Super Bowl 50?,Stanford University,Stanford University,Stanford University
Where did the Panthers practice for the Super Bowl?,San Jose State practice facility,San Jose State,San Jose State
Which hotel did the Panthers stay at for the Super Bowl?,San Jose Marriott.,San Jose Marriott,San Jose Marriott
Where did the Broncos practice for the Super Bowl?,Stanford University,Stanford University,Stanford University
Which hotel did the Broncos use for Super Bowl 50?,Santa Clara Marriott.,Santa Clara Marriott,Santa Clara Marriott
Where was the practice place the Panthers used for the Super Bowl?,San Jose,San Jose State,San Jose State
Where hotel did the Panthers stay at?,San Jose Marriott.,San Jose Marriott,San Jose Marriott
Where did the Broncos practice for the Super Bowl?,Stanford University,Stanford University,Stanford University
Where did the Broncos stay at for Super Bowl 50?,Santa Clara Marriott.,Santa Clara Marriott,Santa Clara Marriott
When did the NFL announce the suspension of using Roman numerals to brand the Super Bowl?,"June 4, 2014","June 4, 2014",The use of Roman numerals will be reinstated for Super Bowl LI
What was the first Super Bowl branded with Roman numerals?,Super Bowl V,Super Bowl V,Super Bowl 50
Who is the NFL's vice president of brand and creative?,Jaime Weston,Jaime Weston,Jaime Weston
What was the first Super Bowl to use the standardized logo template?,Super Bowl XLV,Super Bowl XLV,Super Bowl XLV
Who is the trophy featured on the logo named for?,Vince Lombardi,Vince Lombardi Trophy,Super Bowl
In what year was it declared that no Roman numerals would be used in the name of the 50th Super Bowl?,2014,2014,2014
"Which Super Bowl, after the 50th one, will begin have Roman numerals in the title again?",Super Bowl LI,Super Bowl L,Super Bowl L
"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?",L,Super Bowl 50,Super Bowl V
What color are the numbers in the Super Bowl 50 logo? ,gold,gold,gold
When did the NFL announce that it would not use Roman numbers to designate the Super Bowl number?,"June 4, 2014","June 4, 2014","June 4, 2014"
"Rather than Roman numerals, what did the NFL decide to use?",Arabic numerals,Arabic numerals,Arabic numerals
What is the Roman numeral for 50?,L.,Arabic numerals,Arabic numerals as Super Bowl 50 as opposed to Super Bowl L
"Normally silver, what color was used for the number 50?",gold,gold,L
When will Roman numerals be used again to denote the Super Bowl number?,Super Bowl LI.,"June 4, 2014",Super Bowl LI
What type of numeral did the latest Super Bowl use to designate the game number?,Arabic,Arabic numerals as Super Bowl 50,Roman
What is the Roman numeral going to be for Super Bowl 51?,LI.,Arabic numerals,The use of Roman numerals will be reinstated
What color was featured in promotions related to Super Bowl 50?,gold,gold,ol
When did sideline jackets and hats start to feature gold-trimmed logos?,week 7,week 7,week 7
What yard marker on the field was painted gold?,50,50,50
What color was used to create the 50-yard line in Levi's Stadium for the season leading up to the Super Bowl 50 game?,gold,gold,gold
"What color were the footballs handed out to a variety of high schools, leading up to Super Bowl 50?",gold,Gold,Gold
"Because of the gold theme, what was Super Bowl 50 known as?",Golden Super Bowl,Golden Super Bowl,"Super Bowl 50 known as? [SEP] on fields, the numbering of the 50 - yard line on fields was colored gold"
What was given to high schools where former students went on to play or coach in a Super Bowl?,Gold footballs,Gold footballs,ol
What yard line was a gold color for all teams during the season?,the 50-yard line,50,50
"Since this was the 50th one, what was the theme color for the Super Bowl?",gold,gold,gold
In what venue did the NFL Experience take place?,Moscone Center,Moscone Center,Moscone Center
In what city is the Moscone Center located?,San Francisco,San Francisco,San Francisco
Who is the mayor of San Francisco?,Ed Lee,Ed Lee,burse San Francisco for city services in the amount of $ 5 million
Who is the city supervisor of San Francisco?,Jane Kim,Jane Kim,burse San Francisco for city services in the amount of $ 5 million
"When was the opening of ""Super Bowl City""?",January 30,January 30,January 30
How many people were estimated to go to the different game-themed events during the week prior to Super Bowl 50 in the city it was held in?,1 million,More than 1 million,More than 1 million
Who was the mayor of San Francisco during Super Bowl 50? ,Ed Lee,Ed Lee,More than 1 million people are expected to attend the festivities in San Francisco
Which building was the NFL Experience held at for Super Bowl 50?,Moscone Center,Moscone Center,Moscone Center
What was the name of the event at the The Embarcadero that was held prior to Super Bowl 50 to help show off some of the things that San Francisco has to offer?,Super Bowl City,Super Bowl City,Super Bowl City
Where was the NFL Experience held for the 2015 season?,Moscone Center,Moscone Center in San Francisco,Moscone Center in San Francisco
What opened on January 30th at the Justin Herman plaza?,Super Bowl City,Super Bowl City,Super Bowl City
Who is the mayor of San Francisco?,Ed Lee,Ed Lee,burse San Francisco for city services in the amount of $ 5 million
What football associated thing started at Justin Herman Plaza in January?,Super Bowl City,Super Bowl City,Super Bowl City
How many people are likely to visit Justin Herman Plaza during the week of the Super Bowl?,More than 1 million,More than 1 million,More than 1 million
Who said the homeless in the area would have to leave?,mayor Ed Lee,Ed Lee,Ed Lee
How much did San Francisco get for providing services for the Super Bowl?,$5 million.,$ 5 million,$ 5 million
What did the Moscone Center host?,The annual NFL Experience,NFL Experience,NFL Experience
At what university is Bellomy Field located?,Santa Clara University,Santa Clara University,Santa Clara Univ
How much money is being spent on other Super Bowl-related events?,$2 million,$ 2 million,$ 2 million
How long will the event at Santa Clara Convention Center last?,a week,week,week
How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?,$2 million,$ 2 million,Additional funding will be p
What type of rally was held?,pep rally,pep,pep
"Which government entity helped to pay for the festivities, beyond businesses and individuals?",city council,the city council,the city council
"Where was a beer, wine and food festival held at prior to the Super Bowl?",Bellomy Field,Bellomy Field,Bellomy Field
Who helped find sponsors and donors to help with the cost?,A professional fundraiser,A professional fundraiser,A professional fundraiser
Who set aside seed funding for the week-long event leading up to the Super Bowl?,city council,the city council,the city council
What was the cost of the other Super Bowl events in the San Francisco area?,$2 million,$ 2 million,$ 2 million
Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?,city council,the city council,"$ 2 million worth of other ancillary events, including a week - long event at the Santa Clara Convention Center"
On what day was Super Bowl Opening Night held?,Monday,Tuesday,February 1
On what day does the Super Bowl media day traditionally take place?,Tuesday,Tuesday,Tuesday
What venue hosted Super Bowl Opening Night?,SAP Center,SAP Center,February 1
In what city is SAP Center located?,San Jose,San Jose,San Jose
A replica of what landmark was present at Super Bowl Opening Night?,the Golden Gate Bridge,Golden Gate Bridge,"The game ' s media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re - branded as Super Bowl Opening Night"
"As a norm, what day of the week is the traditional Media Day held prior to a Super Bowl?",Tuesday,Tuesday,Tuesday
What day of the week was Media Day held on for Super Bowl 50?,Monday,"Tuesday afternoon prior to the game, was moved to the Monday",Tuesday
What was the name of the Media Day event for Super Bowl 50?,Super Bowl Opening Night,Super Bowl Opening Night,Super Bowl Opening Night
What is the name of the property where the media event was held for Super Bowl 50?,SAP Center,SAP Center,Super Bowl Opening Night
What city was the media event held for Super Bowl 50?,San Jose,San Jose,February 1
When is the game's media day usually held?,the Tuesday afternoon prior to the game,Tuesday afternoon,Tuesday afternoon
What new name was given to the media day?,Super Bowl Opening Night.,Super Bowl Opening Night,Super Bowl Opening Night
Where was media day for Super Bowl 50 held?,SAP Center in San Jose.,SAP Center in San Jose,Tuesday
What replica was used for player introductions?,the Golden Gate Bridge.,Golden Gate Bridge,Golden Gate Bridge
What day was Super Bowl 50 media day switched to?,Monday,Monday,Monday
What was media day called for Super Bowl 50?,Super Bowl Opening Night.,Super Bowl Opening Night,Super Bowl Opening Night
Where was the new media day event for Super Bowl 50 held?,SAP Center in San Jose.,SAP Center in San Jose,Monday
What bridge had a model of it at the Super Bowl Opening Night?,Golden Gate Bridge.,Golden Gate Bridge,Golden Gate Bridge
What date was Super Bowl Opening Night held?,"February 1, 2016","February 1, 2016",February 1
What is the name of the program that provides contracting work to local companies?,Business Connect,Business Connect,gram
How much money has been raised by the host committee?,$40 million,over $ 40 million,over $ 40 million
What health company was a Super Bowl sponsor?,Dignity Health,Dignity Health,Dignity Health
What clothing company was a Super Bowl sponsor?,Gap,"Apple, Google, Yahoo!, Intel, Gap, Chevron",Business Connect
What petroleum company was a Super Bowl sponsor?,Chevron,Intel,Business Connect
"Which committee made an effort to invite companies owned by people, who are transgender or gay, to take part in contract business associated with Super Bowl 50.",Super Bowl 50 Host Committee,the Super Bowl 50 Host Committee,Super Bowl 50 Host Committee
How much money did the committee raise?,over $40 million,over $ 40 million,50
How did the committee raise the money?,sponsors,through sponsors,"openly sought disabled veteran and lesbian, gay, bisexual and transgender - owned businesses"
What is the Super Bowl program called that gives local companies business opportunities for the Super Bowl?,Business Connect,Business Connect,Business Connect
What is the name of the service that gets local businesses contract chances with the Super Bowl?,Business Connect,Business Connect,Business Connect
"According to the text, how much money did the Host Committee raise?",over $40 million,over $ 40 million,50
What percentage of money raised by the Host Committee will be used for charitable causes?,25,25 percent,25 percent
What is the name of the Host Committee's charitable initiative?,the 50 fund,50 fund,The Super Bowl 50
What percentage of funds were given as charitable funds to causes in and around San Francisco?,25 percent,25,50
What was the name of the fund setup to help with investing in the community? ,50 fund,50 fund,The Super Bowl 50 Host Committee
The Super Bowl 50 Host Committee said it would be the most what ever?,the most giving Super Bowl ever,giving,giving
How many will the host committee dedicate to local charities?,25 percent,25 percent,25 percent
"What is the name of the fund that focuses on youth, community and sustainable environments?",the 50 fund,50 fund,50 fund
What percentage of money raised was earmarked for causes in the San Francisco area?,25 percent,25,25
What was the name of the work to give grants for youth development and other things?,50 fund,50 fund,50 fund
Who is the trophy given to the Super Bowl champion named for?,Vince Lombardi,Vince Lombardi Trophy,Vince Lombardi Trophy
"The ""50"" given to the Super Bowl winner is plated with how many karats of gold?",18,18,18
"What will the ""50"" given to the Super Bowl winner weigh in pounds?",66,"18 - karat gold - plated "" 50 "". Each digit will weigh 33",33
"Who designed the ""50""?",Tiffany & Co.,Tiffany & Co,Tiffany & Co
Who designed the Vince Lombardi Trophy?,Tiffany & Co.,Tiffany & Co,Tiffany & Co
What is the name of the trophy given to anyone who plays on the winning team in a Super Bowl?,Vince Lombardi Trophy,Vince Lombardi Trophy,Vince Lombardi Trophy
"What will the number ""50"" be plated with? ",18-karat gold-plated,18 - karat gold,Lombardi Trophy
"Who is the designer of the ""50?""",Tiffany & Co,Tiffany & Co,Tiffany & Co
What is the name of the trophy that all Super Bowl winners receive?,the Vince Lombardi Trophy,Vince Lombardi Trophy,Vince Lombardi Trophy
"Who designs both the ""50"" as well as the Trophy?",Tiffany & Co.,Tiffany & Co,Tiffany & Co
On what television station could an American viewer watch the game?,CBS,CBS,CBS
"Who, with Jim Nantz, was a member of the game's lead broadcast team?",Phil Simms,Phil Simms,Phil Simms
Who shared sideline duties with Evan Washburn?,Tracy Wolfson,Tracy Wolfson,Tracy Wolfson
How many cameras did EyeVision 360 utilize?,36,36,
What was the resolution of the cameras used in the EyeVision 360 system?,5K,5K,CBS
"How many different TV networks are considered to be the principal partners, when it comes to broadcasting NFL events?",three,three,5K resolution
Where was Tracy Wolfson announcing from during the Super Bowl 50 game?,sidelines,CBS,EyeVision
"New cameras were introduced for the game, what degree of view do they provide viewers?",360-degree,360,360 - degree
What resolution were the cameras increased to for the game?,5K resolution,5K,5K
Where was Evan Washburn located while announcing during the game?,sidelines,on the sidelines,on the sidelines
Which television network aired the Super Bowl?,CBS,CBS,EyeVision
How many broadcast television partners does the NFL have?,three,three,three
What network aired Super Bowl 50?,CBS,CBS,EyeVision
Who were the announcers of Super Bowl 50?,Jim Nantz and Phil Simms,Jim Nantz and Phil Simms,EyeVision
Who were the Super Bowl 50 sideline announcers?,Tracy Wolfson and Evan Washburn,Tracy Wolfson and Evan Washburn,EyeVision
What resolution were the Eyevision cameras changed to?,5K,5K,5K
What was put on pylons for Super Bowl 50?,cameras,5K resolution,EyeVision
Which network broadcast the game in Spanish?,ESPN Deportes,ESPN Deportes,
Who reported on the sideline for ESPN Deportes?,John Sutcliffe,John Sutcliffe,CBS
Who provided Spanish-language commentary alongside Raul Allegre?,Alvaro Martin,Alvaro Martin,Alvaro Martin
On what date did ESPN Deportes announce their deal with CBS and the NFL?,"December 28, 2015","December 28, 2015","December 28, 2015"
In what language did ESPN Deportes broadcast the game?,Spanish,Spanish,Spanish
Which TV network broadcasted Super Bowl 50 in Spanish?,CBS,ESPN Deportes,Fox
Who exclusively broadcast the game in Spanish after reaching an agreement with the NFL and CBS?,ESPN Deportes,ESPN Deportes,ESPN Deportes
Who was the sideline reporter for ESPN Deportes?,John Sutcliffe.,John Sutcliffe,Alvaro Martin and Raul Allegre
What agency did the Spanish version of the Super Bowl?,ESPN Deportes,ESPN Deportes,CBS
Who were the ESPN Deportes commentators for Super Bowl 50?,Alvaro Martin and Raul Allegre,Alvaro Martin and Raul Allegre,CBS
Who was the ESPN Deportes sideline commentator for Super Bowl 50?,John Sutcliffe.,John Sutcliffe,Alvaro Martin and Raul Allegre
What service did Verizon customers need to use to stream the game on their smartphones?,NFL Mobile,NFL Mobile,NFL Mobile
On what service could the ESPN Deportes broadcast be streamed?,WatchESPN,WatchESPN,WatchESPN
What CBS website provided a stream?,CBSSports.com,CBSSports. com,CBSSports. com
On what game console was the CBS Sports app available?,Xbox One,"Windows 10, Xbox One",NFL Mobile
What version of Windows supported the CBS sports app?,10,10,Windows 10
What was the domain name of the site that streamed the Super Bowl 50 game? ,CBSSports.com,CBSSports. com,Verizon Wireless
Which game console could viewers stream the game on? ,Xbox One,,CBS
Which smartphone customers were the only people who could stream the game on their phones?,Verizon Wireless customers,Verizon Wireless,Verizon Wireless
What app did viewers use to watch the game on their smartphones? ,NFL Mobile service,WatchESPN,WatchESPN
Which wireless company had exclusive streaming rights on mobile phones?,Verizon,Verizon Wireless,Verizon Wireless
Which mobile service were Verizon customers able to watch Super Bowl 50 on their phones?,NFL Mobile service.,NFL,NFL
"What did CBS provide of the Super Bowl 50 broadcast for its website, some apps and media players?",digital streams of the game,digital streams,digital streams
What cellular carrier had the only contract for the Super Bowl to be shown on smartphones?,Verizon,NFL,
Where was the ESPN Deportes Spanish version of Super Bowl 50 available?,WatchESPN.,WatchESPN,WatchESPN
What talk show followed immediately after Super Bowl 50 on CBS?,The Late Show with Stephen Colbert,The Late Show,The Late Show
What show aired on CBS after late local programming?,The Late Late Show with James Corden,The Late Late Show,The Late Late Show
Which late night comedy host show played immediately after Super Bowl 50 ended?,The Late Show with Stephen Colbert,Stephen Colbert,The Late Show
"What other CBS talk show played, after the main one that began immediately after Super Bowl 50?",The Late Late Show with James Corden,The Late Show,The Late Show
What CBS show followed the Super Bowl?,The Late Show with Stephen Colbert,The Late Show,The Late Show
What followed The Late Show with Stephen Colbert?,late local programming,a special episode,the game
What followed the late local programming after Super Bowl 50?,The Late Late Show with James Corden.,The Late Show,The Late Late Show
What was the base rate for a 30-second ad during Super Bowl 50?,"$5,000,000","$ 5, 000, 000","$ 5, 000, 000"
What beverage company signed a contract allowing them to broadcast ads at a discount?,Anheuser-Busch InBev,Anheuser - Busch InBev,Anheuser - Busch InBev
"What brand sponsored the ""Crash the Super Bowl"" contest?",Doritos,Doritos,Doritos
What anniversary of the Pokémon franchise was celebrated during the Super Bowl?,20th,20th,20th
What was the starting cost for a TV commercial lasting 30 seconds and airing during Super Bowl 50?,"$5,000,000","$ 5, 000, 000",30 seconds
Which company was given permission to air TV commercials during Super Bowl 50 at a discounted price?,Anheuser-Busch InBev,Anheuser - Busch InBev,Doritos
Which company held a contest whereupon contestants could enter for a chance to have their own commercial shown during Super Bowl 50?,Doritos,Doritos,Doritos
Which video gaming company debuted their ad for the first time during Super Bowl 50?,Nintendo,Nintendo and The Pokémon Company,Pokémon Company
Who made their Super Bowl commercial debut with Nintendo?,The Pokémon Company,The Pokémon Company,The Pokémon Company
Which company has been able to air multiple ads at a steep discount?,Anheuser-Busch InBev,Anheuser - Busch InBev,Doritos
Which company has held contests for fans to  create their own ad for the company?,Doritos,Doritos,Doritos
What company was in its last year for getting Super Bowl commercials at a big discount?,Anheuser-Busch InBev,Anheuser - Busch InBev,Doritos
What company was this the last Super Bowl they would let customers have an opportunity to get their own commercial ideas aired?,Doritos,Doritos,Doritos
What was the Doritos customer Super Bowl ad campaign called?,Crash the Super Bowl,Crash the Super Bowl,Crash the Super Bowl
What was the name of the contest sponsored by QuickBooks?,"""Small Business Big Game""",Small Business Big Game,free advertisement
What company won a free advertisement due to the QuickBooks contest?,Death Wish Coffee,Death Wish Coffee,nders
How long was the Death Wish Coffee commercial?,30-second,30 - second,30 - second
"Besides Death Wish Coffee, how many other competitors participated in the contest?",nine,nine,nine
Which company won a contest to have their ad shown for free during Super Bowl 50?,Death Wish Coffee,QuickBooks,nders
"How many other contestants did the company, that had their ad shown for free, beat out?",nine,nine,nders from across the United States
"Which company sponsored a contest called ""Small Business Big Game""?",QuickBooks.,QuickBooks,QuickBooks
Which company had a commercial aired for free as a result of the Quickbooks contest?,Death Wish Coffee,Death Wish Coffee,Death Wish Coffee
How many companies were part of the Quickbooks contest?,ten,nine,nine
What company had a contest to win a free Super Bowl commercial?,QuickBooks.,QuickBooks,
Who won the competition to get a free Super Bowl commercial aired?,Death Wish Coffee,Death Wish Coffee,nders from across the United States
What Universal trailer debuted during the Super Bowl?,Jason Bourne,"trailer for Jason Bourne and Disney paid for Captain America : Civil War, The Jungle Book and Alice Through the Looking Glass",movie trailers
What Lionsgate trailer was shown during the Super Bowl?,Gods of Egypt,"Gods of Egypt, Paramount paid for Teenage Mutant Ninja Turtles : Out of the Shadows and 10 Cloverfield Lane, Universal paid for The Secret Life of Pets and the debut trailer for Jason Bourne and Disney paid for Captain America : Civil War, The Jungle Book and Alice Through the Looking Glass",movie trailers
"Along with 10 Cloverfield Lane, what Paramount trailer appeared during the Super Bowl?",Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
What was the subtitle of the Independence Day movie that had a trailer during the Super Bowl?,Resurgence,,Resurgence
What film did Lionsgate pay to have the trailer aired during the Super Bowl?,Gods of Egypt,Gods of Egypt,"20th Century Fox, Lionsgate, Paramount Pictures, Universal Studios and Walt Disney Studios paid for movie trailers to be aired during the Super Bowl. Fox paid for Deadpool, X - Men : Apocalypse"
"Paramount paid fo, 10 Cloverfield Lane and which other film trailer to be aired during the game?",Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles
Universal Paid for The Secret Life of Pets and which other film trailer?,Jason Bourne,"Jason Bourne and Disney paid for Captain America : Civil War, The Jungle Book and Alice Through the Looking Glass",10 Cloverfield Lane
"Disney paid for The Jungle Book, Alice Through the Looking Glass, and which other film trailer to be aired during the game?",Captain America: Civil War,Captain America : Civil War,Captain America : Civil War
What famous July Fourth holiday movie did Fox pay to advertise a sequel of during the Super Bowl?,Independence Day,Independence Day,"Deadpool, X - Men : Apocalypse"
What movie company paid to have the next Jason Bourne movie ad shown during the Super Bowl?,Universal,Universal,Universal Studios and Walt Disney Studios
What company paid for a Super Bowl 50 ad to show a trailer of X-Men: Apocalypse?,Fox,Universal Studios,Fox
What radio network carried the Super Bowl?,Westwood One,Westwood One,Jim Gray
Who did play-by-play on Westwood One?,Kevin Harlan,Kevin Harlan,Kevin Harlan
Who handled pre-game coverage on Westwood One?,Jim Gray,Jim Gray,Jim Gray
